dataset,category,model,status,error,num_images,threshold,accuracy,precision,recall,f1,auroc,pixel_auroc,selection_score,config_path,checkpoint_path,ae_training_mode,ae_final_epoch,ae_best_epoch,ae_best_val_loss,ae_early_stopped,ae_elapsed_sec,ae_train_size,ae_val_size,ae_history_csv,ae_history_png,ae_resume_enabled,ae_resume_checkpoint,ae_resumed_from_epoch,ae_save_every_epochs
mvtec,bottle,patchcore,ok,,83,0.7210485219955445,0.9518072289156626,0.9402985074626866,1.0,0.9692307692307692,1.0,0.9778147642832916,0.9819421062700816,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/bottle/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/bottle/patchcore.pt,,,,,,,,,,,,,,
mvtec,carpet,patchcore,ok,,117,0.6809907585382462,0.9230769230769232,0.9166666666666666,0.9887640449438202,0.9513513513513512,0.9927768860353128,0.9794295842799396,0.9721136806296402,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/carpet/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/carpet/patchcore.pt,,,,,,,,,,,,,,
mvtec,grid,patchcore,ok,,78,0.5787883639335633,0.9230769230769232,0.9322033898305084,0.9649122807017544,0.9482758620689654,0.9908103592314118,0.98532752003027,0.9720326815250658,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/grid/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/grid/patchcore.pt,,,,,,,,,,,,,,
mvtec,hazelnut,patchcore,ok,,110,0.8347797393798828,0.8272727272727273,0.9636363636363636,0.7571428571428571,0.848,0.9707142857142856,0.97080565934483,0.9257144018491944,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/hazelnut/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/hazelnut/patchcore.pt,,,,,,,,,,,,,,
mvtec,capsule,patchcore,ok,,132,0.6972088396549224,0.7878787878787878,0.9879518072289156,0.7522935779816514,0.8541666666666666,0.93777423214998,0.9613050135543336,0.9077654917031208,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/capsule/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/capsule/patchcore.pt,,,,,,,,,,,,,,
mvtec,cable,patchcore,ok,,150,0.8078628093004226,0.8333333333333334,0.9240506329113924,0.7934782608695652,0.8538011695906433,0.91191904047976,0.8842385784499036,0.8826108865353742,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/cable/patchcore.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/cable/patchcore.pt,,,,,,,,,,,,,,
mvtec,hazelnut,autoencoder,ok,,110,0.0066682042088359,0.6181818181818182,1.0,0.4,0.5714285714285715,0.8617857142857143,0.92728816479167,0.7812116515875279,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/hazelnut/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/hazelnut/autoencoder.pt,regularized_early_stopping_resume,28.0,24.0,0.003856279832011,True,3166.150971889496,332.0,59.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/hazelnut/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/hazelnut/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/hazelnut/autoencoder_resume.pt,0.0,10.0
mvtec,bottle,autoencoder,ok,,83,0.0092390408739447,0.5542168674698795,0.9333333333333332,0.4444444444444444,0.6021505376344086,0.6523809523809524,0.7130079935747633,0.645163700501662,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/bottle/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/bottle/autoencoder.pt,regularized_early_stopping_resume,34.0,30.0,0.0074469580825778,True,1888.5478105545044,178.0,31.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/bottle/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/bottle/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/bottle/autoencoder_resume.pt,0.0,10.0
mvtec,grid,autoencoder,ok,,78,0.0162981186062097,0.4487179487179487,0.9375,0.2631578947368421,0.4109589041095891,0.7460317460317462,0.7053450516295828,0.6223604822192863,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/grid/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/grid/autoencoder.pt,regularized_early_stopping_resume,49.0,45.0,0.0128789788112044,True,3268.1835873126984,224.0,40.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/grid/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/grid/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/grid/autoencoder_resume.pt,0.0,10.0
mvtec,capsule,autoencoder,ok,,132,0.0070879763457924,0.25,0.8125,0.1192660550458715,0.208,0.5073793378540088,0.7744171593556912,0.4735560249805263,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/capsule/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/capsule/autoencoder.pt,regularized_early_stopping_resume,23.0,19.0,0.0053114907279836,True,1470.4323418140411,186.0,33.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/capsule/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/capsule/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/capsule/autoencoder_resume.pt,0.0,10.0
mvtec,carpet,autoencoder,ok,,117,0.0234808481298387,0.3247863247863248,0.6470588235294118,0.247191011235955,0.3577235772357723,0.3747993579454253,0.5787797438585801,0.4165242059303907,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/carpet/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/carpet/autoencoder.pt,regularized_early_stopping_resume,48.0,44.0,0.0194623518202986,True,3806.542553424835,238.0,42.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/carpet/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/carpet/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/carpet/autoencoder_resume.pt,0.0,10.0
mvtec,cable,autoencoder,ok,,150,0.0250803833827376,0.3933333333333333,0.6,0.0326086956521739,0.0618556701030927,0.4520239880059969,0.5128281598502907,0.363813886024078,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/configs/mvtec/cable/autoencoder.yaml,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/cable/autoencoder.pt,regularized_early_stopping_resume,66.0,62.0,0.0188785428729127,True,4261.673045158386,190.0,34.0,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/cable/autoencoder_history.csv,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/cable/autoencoder_loss.png,True,/content/drive/MyDrive/DefectVision-AD/outputs/checkpoints/mvtec/cable/autoencoder_resume.pt,0.0,10.0
