dataset,category,category_root,train_good,test_good,test_anomaly,test_total,defect_types,has_ground_truth,status
mvtec,bottle,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/bottle,209,20,63,83,"broken_large, broken_small, contamination",True,ok
mvtec,cable,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/cable,224,58,92,150,"bent_wire, cable_swap, combined, cut_inner_insulation, cut_outer_insulation, missing_cable, missing_wire, poke_insulation",True,ok
mvtec,capsule,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/capsule,219,23,109,132,"crack, faulty_imprint, poke, scratch, squeeze",True,ok
mvtec,carpet,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/carpet,280,28,89,117,"color, cut, hole, metal_contamination, thread",True,ok
mvtec,grid,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/grid,264,21,57,78,"bent, broken, glue, metal_contamination, thread",True,ok
mvtec,hazelnut,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/hazelnut,391,40,70,110,"crack, cut, hole, print",True,ok
mvtec,leather,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/leather,245,32,92,124,"color, cut, fold, glue, poke",True,ok
mvtec,metal_nut,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/metal_nut,220,22,93,115,"bent, color, flip, scratch",True,ok
mvtec,pill,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/pill,267,26,141,167,"color, combined, contamination, crack, faulty_imprint, pill_type, scratch",True,ok
mvtec,screw,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/screw,320,41,119,160,"manipulated_front, scratch_head, scratch_neck, thread_side, thread_top",True,ok
mvtec,tile,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/tile,230,33,84,117,"crack, glue_strip, gray_stroke, oil, rough",True,ok
mvtec,toothbrush,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/toothbrush,60,12,30,42,defective,True,ok
mvtec,transistor,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/transistor,213,60,40,100,"bent_lead, cut_lead, damaged_case, misplaced",True,ok
mvtec,wood,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/wood,247,19,60,79,"color, combined, hole, liquid, scratch",True,ok
mvtec,zipper,/content/drive/MyDrive/DefectVision-AD/data/raw/mvtec/zipper,240,32,119,151,"broken_teeth, combined, fabric_border, fabric_interior, rough, split_teeth, squeezed_teeth",True,ok
